Index,Co,Cr,Ti,Mo,W,VEC,delta,entropy,han,Tm(K),omiga,AN,Aw,CH,DS,DC,DV,EN,EC,EI,EM,MP,NC,QN,RC,RM,TM,TN,BM,Hv30
11,0.05,0.05,0.05,0.55,0.3,6.05,3.259784858,9.47265594,-1.74,2985.95,16.25567644,48.95,115.8618,7.5705,12424.5,0.894,1.467,1.883,7.088,711.155,28.705,55.9,3.7225,5.15,1.2825,1.3961,2991.7,9.27,259.455,
12,0.05,0.05,0.05,0.6,0.25,6.05,3.265506306,9.16559309,-1.77,2946.3,15.25682877,47.35,111.4663,7.427,11973.5,0.893,1.465,1.8905,6.984,706.9,28.355,55.95,3.6775,5.1,1.282,1.3957,2952.05,8.48,256.965,
13,0.05,0.05,0.05,0.65,0.2,6.05,3.27162049,8.740145036,-1.8,2906.65,14.11363476,45.75,107.0708,7.2835,11522.5,0.892,1.463,1.898,6.88,702.645,28.005,56,3.6325,5.05,1.2815,1.3953,2912.4,7.69,254.475,
14,0.05,0.05,0.05,0.7,0.15,6.05,3.278126075,8.17765289,-1.83,2867,12.81165619,44.15,102.6753,7.14,11071.5,0.891,1.461,1.9055,6.776,698.39,27.655,56.05,3.5875,5,1.281,1.3949,2872.75,6.9,251.985,
15,0.05,0.05,0.05,0.75,0.1,6.05,3.285021599,7.444188527,-1.86,2827.35,11.3157669,42.55,98.2798,6.9965,10620.5,0.89,1.459,1.913,6.672,694.135,27.305,56.1,3.5425,4.95,1.2805,1.3945,2833.1,6.11,249.495,
16,0.05,0.05,0.05,0.8,0.05,6.05,3.292305475,6.465476013,-1.89,2787.7,9.536406075,40.95,93.8843,6.853,10169.5,0.889,1.457,1.9205,6.568,689.88,26.955,56.15,3.4975,4.9,1.28,1.3941,2793.45,5.32,247.005,
17,0.05,0.05,0.1,0.05,0.75,5.95,3.318225701,7.444188527,-2.67,3294.95,9.186602617,62.35,153.01765,8.754,16199.5,0.9035,1.5025,1.8115,7.9255,748.105,31.395,55.2,4.1125,5.55,1.2885,1.4028,3303.95,16.555,274.225,
18,0.05,0.05,0.1,0.1,0.7,5.95,3.319989626,8.395167144,-2.68,3255.3,10.19730881,60.75,148.62215,8.6105,15748.5,0.9025,1.5005,1.819,7.8215,743.85,31.045,55.25,4.0675,5.5,1.288,1.4024,3264.3,15.765,271.735,
19,0.05,0.05,0.1,0.15,0.65,5.95,3.322139777,9.098913349,-2.69,3215.65,10.8769222,59.15,144.22665,8.467,15297.5,0.9015,1.4985,1.8265,7.7175,739.595,30.695,55.3,4.0225,5.45,1.2875,1.402,3224.65,14.975,269.245,
20,0.05,0.05,0.1,0.2,0.6,5.95,3.324676233,9.629396961,-2.7,3176,11.32702398,57.55,139.83115,8.3235,14846.5,0.9005,1.4965,1.834,7.6135,735.34,30.345,55.35,3.9775,5.4,1.287,1.4016,3185,14.185,266.755,
21,0.05,0.05,0.1,0.25,0.55,5.95,3.32759894,10.02016314,-2.71,3136.35,11.59658253,55.95,135.43565,8.18,14395.5,0.8995,1.4945,1.8415,7.5095,731.085,29.995,55.4,3.9325,5.35,1.2865,1.4012,3145.35,13.395,264.265,
22,0.05,0.05,0.1,0.3,0.5,5.95,3.330907715,10.28938286,-2.72,3096.7,11.71438673,54.35,131.04015,8.0365,13944.5,0.8985,1.4925,1.849,7.4055,726.83,29.645,55.45,3.8875,5.3,1.286,1.4008,3105.7,12.605,261.775,
23,0.05,0.05,0.1,0.35,0.45,5.95,3.334602238,10.4473553,-2.73,3057.05,11.69893316,52.75,126.64465,7.893,13493.5,0.8975,1.4905,1.8565,7.3015,722.575,29.295,55.5,3.8425,5.25,1.2855,1.4004,3066.05,11.815,259.285,
24,0.05,0.05,0.1,0.4,0.4,5.95,3.338682064,10.49945397,-2.74,3017.4,11.56242789,51.15,122.24915,7.7495,13042.5,0.8965,1.4885,1.864,7.1975,718.32,28.945,55.55,3.7975,5.2,1.285,1.4,3026.4,11.025,256.795,
25,0.05,0.05,0.1,0.45,0.35,5.95,3.343146614,10.4473553,-2.75,2977.75,11.31258627,49.55,117.85365,7.606,12591.5,0.8955,1.4865,1.8715,7.0935,714.065,28.595,55.6,3.7525,5.15,1.2845,1.3996,2986.75,10.235,254.305,
26,0.05,0.05,0.1,0.5,0.3,5.95,3.347995184,10.28938286,-2.76,2938.1,10.95334629,47.95,113.45815,7.4625,12140.5,0.8945,1.4845,1.879,6.9895,709.81,28.245,55.65,3.7075,5.1,1.284,1.3992,2947.1,9.445,251.815,
27,0.05,0.05,0.1,0.55,0.25,5.95,3.353226942,10.02016314,-2.77,2898.45,10.48481656,46.35,109.06265,7.319,11689.5,0.8935,1.4825,1.8865,6.8855,705.555,27.895,55.7,3.6625,5.05,1.2835,1.3988,2907.45,8.655,249.325,
28,0.05,0.05,0.1,0.6,0.2,5.95,3.358840933,9.629396961,-2.78,2858.8,9.902345335,44.75,104.66715,7.1755,11238.5,0.8925,1.4805,1.894,6.7815,701.3,27.545,55.75,3.6175,5,1.283,1.3984,2867.8,7.865,246.835,
29,0.05,0.05,0.1,0.65,0.15,5.95,3.364836079,9.098913349,-2.79,2819.15,9.193979056,43.15,100.27165,7.032,10787.5,0.8915,1.4785,1.9015,6.6775,697.045,27.195,55.8,3.5725,4.95,1.2825,1.398,2828.15,7.075,244.345,
30,0.05,0.05,0.1,0.7,0.1,5.95,3.371211182,8.395167144,-2.8,2779.5,8.333702527,41.55,95.87615,6.8885,10336.5,0.8905,1.4765,1.909,6.5735,692.79,26.845,55.85,3.5275,4.9,1.282,1.3976,2788.5,6.285,241.855,
31,0.05,0.05,0.1,0.75,0.05,5.95,3.377964927,7.444188527,-2.81,2739.85,7.258348732,39.95,91.48065,6.745,9885.5,0.8895,1.4745,1.9165,6.4695,688.535,26.495,55.9,3.4825,4.85,1.2815,1.3972,2748.85,5.495,239.365,
32,0.05,0.05,0.15,0.05,0.7,5.85,3.402997128,8.17765289,-3.78,3207.45,6.938998085,59.75,146.2185,8.5025,15464.5,0.903,1.518,1.815,7.723,742.505,30.585,55,4.0525,5.45,1.2895,1.4055,3219.7,15.94,264.095,
33,0.05,0.05,0.15,0.1,0.65,5.85,3.404773632,9.098913349,-3.77,3167.8,7.645500718,58.15,141.823,8.359,15013.5,0.902,1.516,1.8225,7.619,738.25,30.235,55.05,4.0075,5.4,1.289,1.4051,3180.05,15.15,261.605,
34,0.05,0.05,0.15,0.15,0.6,5.85,3.406925719,9.77065102,-3.76,3128.15,8.128739891,56.55,137.4275,8.2155,14562.5,0.901,1.514,1.83,7.515,733.995,29.885,55.1,3.9625,5.35,1.2885,1.4047,3140.4,14.36,259.115,
35,0.05,0.05,0.15,0.2,0.55,5.85,3.409453485,10.26645276,-3.75,3088.5,8.455450493,54.95,133.032,8.072,14111.5,0.9,1.512,1.8375,7.411,729.74,29.535,55.15,3.9175,5.3,1.288,1.4043,3100.75,13.57,256.625,
36,0.05,0.05,0.15,0.25,0.5,5.85,3.412356901,10.6193758,-3.74,3048.85,8.656920835,53.35,128.6365,7.9285,13660.5,0.899,1.51,1.845,7.307,725.485,29.185,55.2,3.8725,5.25,1.2875,1.4039,3061.1,12.78,254.135,
37,0.05,0.05,0.15,0.3,0.45,5.85,3.415635816,10.84695596,-3.73,3009.2,8.75084715,51.75,124.241,7.785,13209.5,0.898,1.508,1.8525,7.203,721.23,28.835,55.25,3.8275,5.2,1.287,1.4035,3021.45,11.99,251.645,
38,0.05,0.05,0.15,0.35,0.4,5.85,3.419289958,10.958644,-3.72,2969.55,8.747914328,50.15,119.8455,7.6415,12758.5,0.897,1.506,1.86,7.099,716.975,28.485,55.3,3.7825,5.15,1.2865,1.4031,2981.8,11.2,249.155,
39,0.05,0.05,0.15,0.4,0.35,5.85,3.423318934,10.958644,-3.71,2929.9,8.65437495,48.55,115.45,7.498,12307.5,0.896,1.504,1.8675,6.995,712.72,28.135,55.35,3.7375,5.1,1.286,1.4027,2942.15,10.41,246.665,
40,0.05,0.05,0.15,0.45,0.3,5.85,3.427722232,10.84695596,-3.7,2890.25,8.473084988,46.95,111.0545,7.3545,11856.5,0.895,1.502,1.875,6.891,708.465,27.785,55.4,3.6925,5.05,1.2855,1.4023,2902.5,9.62,244.175,
41,0.05,0.05,0.15,0.5,0.25,5.85,3.432499221,10.6193758,-3.69,2850.6,8.20368365,45.35,106.659,7.211,11405.5,0.894,1.5,1.8825,6.787,704.21,27.435,55.45,3.6475,5,1.285,1.4019,2862.85,8.83,241.685,
42,0.05,0.05,0.15,0.55,0.2,5.85,3.437649155,10.26645276,-3.68,2810.95,7.841979724,43.75,102.2635,7.0675,10954.5,0.893,1.498,1.89,6.683,699.955,27.085,55.5,3.6025,4.95,1.2845,1.4015,2823.2,8.04,239.195,
43,0.05,0.05,0.15,0.6,0.15,5.85,3.443171171,9.77065102,-3.67,2771.3,7.378039556,42.15,97.868,6.924,10503.5,0.892,1.496,1.8975,6.579,695.7,26.735,55.55,3.5575,4.9,1.284,1.4011,2783.55,7.25,236.705,
44,0.05,0.05,0.15,0.65,0.1,5.85,3.449064294,9.098913349,-3.66,2731.65,6.790996352,40.55,93.4725,6.7805,10052.5,0.891,1.494,1.905,6.475,691.445,26.385,55.6,3.5125,4.85,1.2835,1.4007,2743.9,6.46,234.215,
45,0.05,0.05,0.15,0.7,0.05,5.85,3.455327436,8.17765289,-3.65,2692,6.031299063,38.95,89.077,6.637,9601.5,0.89,1.492,1.9125,6.371,687.19,26.035,55.65,3.4675,4.8,1.283,1.4003,2704.25,5.67,231.725,
46,0.05,0.05,0.2,0.05,0.65,5.75,3.479399928,8.740145036,-4.77,3119.95,5.71673281,57.15,139.41935,8.251,14729.5,0.9025,1.5335,1.8185,7.5205,736.905,29.775,54.8,3.9925,5.35,1.2905,1.4082,3135.45,15.325,253.965,
47,0.05,0.05,0.2,0.1,0.6,5.75,3.481188043,9.629396961,-4.74,3080.3,6.257685962,55.55,135.02385,8.1075,14278.5,0.9015,1.5315,1.826,7.4165,732.65,29.425,54.85,3.9475,5.3,1.29,1.4078,3095.8,14.535,251.475,
48,0.05,0.05,0.2,0.15,0.55,5.75,3.483342496,10.26645276,-4.71,3040.65,6.627747258,53.95,130.62835,7.964,13827.5,0.9005,1.5295,1.8335,7.3125,728.395,29.075,54.9,3.9025,5.25,1.2895,1.4074,3056.15,13.745,248.985,
49,0.05,0.05,0.2,0.2,0.5,5.75,3.485863392,10.72441136,-4.68,3001,6.87691421,52.35,126.23285,7.8205,13376.5,0.8995,1.5275,1.841,7.2085,724.14,28.725,54.95,3.8575,5.2,1.289,1.407,3016.5,12.955,246.495,
50,0.05,0.05,0.2,0.25,0.45,5.75,3.488750724,11.03569485,-4.65,2961.35,7.02807633,50.75,121.83735,7.677,12925.5,0.8985,1.5255,1.8485,7.1045,719.885,28.375,55,3.8125,5.15,1.2885,1.4066,2976.85,12.165,244.005,
51,0.05,0.05,0.2,0.3,0.4,5.75,3.492004367,11.2169906,-4.62,2921.7,7.09365399,49.15,117.44185,7.5335,12474.5,0.8975,1.5235,1.856,7.0005,715.63,28.025,55.05,3.7675,5.1,1.288,1.4062,2937.2,11.375,241.515,
52,0.05,0.05,0.2,0.35,0.35,5.75,3.495624087,11.27657997,-4.59,2882.05,7.080537541,47.55,113.04635,7.39,12023.5,0.8965,1.5215,1.8635,6.8965,711.375,27.675,55.1,3.7225,5.05,1.2875,1.4058,2897.55,10.585,239.025,
53,0.05,0.05,0.2,0.4,0.3,5.75,3.499609534,11.2169906,-4.56,2842.4,6.99192414,45.95,108.65085,7.2465,11572.5,0.8955,1.5195,1.871,6.7925,707.12,27.325,55.15,3.6775,5,1.287,1.4054,2857.9,9.795,236.535,
54,0.05,0.05,0.2,0.45,0.25,5.75,3.503960251,11.03569485,-4.53,2802.75,6.827879411,44.35,104.25535,7.103,11121.5,0.8945,1.5175,1.8785,6.6885,702.865,26.975,55.2,3.6325,4.95,1.2865,1.405,2818.25,9.005,234.045,
55,0.05,0.05,0.2,0.5,0.2,5.75,3.508675667,10.72441136,-4.5,2763.1,6.585026897,42.75,99.85985,6.9595,10670.5,0.8935,1.5155,1.886,6.5845,698.61,26.625,55.25,3.5875,4.9,1.286,1.4046,2778.6,8.215,231.555,
56,0.05,0.05,0.2,0.55,0.15,5.75,3.513755105,10.26645276,-4.47,2723.45,6.25507176,41.15,95.46435,6.816,10219.5,0.8925,1.5135,1.8935,6.4805,694.355,26.275,55.3,3.5425,4.85,1.2855,1.4042,2738.95,7.425,229.065,
57,0.05,0.05,0.2,0.6,0.1,5.75,3.519197777,9.629396961,-4.44,2683.8,5.820580082,39.55,91.06885,6.6725,9768.5,0.8915,1.5115,1.901,6.3765,690.1,25.925,55.35,3.4975,4.8,1.285,1.4038,2699.3,6.635,226.575,
58,0.05,0.05,0.2,0.65,0.05,5.75,3.525002792,8.740145036,-4.41,2644.15,5.240420521,37.95,86.67335,6.529,9317.5,0.8905,1.5095,1.9085,6.2725,685.845,25.575,55.4,3.4525,4.75,1.2845,1.4034,2659.65,5.845,224.085,
59,0.05,0.05,0.25,0.05,0.6,5.65,3.548026642,9.16559309,-5.64,3032.45,4.928050136,54.55,132.6202,7.9995,13994.5,0.902,1.549,1.822,7.318,731.305,28.965,54.6,3.9325,5.25,1.2915,1.4109,3051.2,14.71,243.835,
60,0.05,0.05,0.25,0.1,0.55,5.65,3.549825301,10.02016314,-5.59,2992.8,5.36464119,52.95,128.2247,7.856,13543.5,0.901,1.547,1.8295,7.214,727.05,28.615,54.65,3.8875,5.2,1.291,1.4105,3011.55,13.92,241.345,
61,0.05,0.05,0.25,0.15,0.5,5.65,3.551982234,10.6193758,-5.54,2953.15,5.660759866,51.35,123.8292,7.7125,13092.5,0.9,1.545,1.837,7.11,722.795,28.265,54.7,3.8425,5.15,1.2905,1.4101,2971.9,13.13,238.855,
62,0.05,0.05,0.25,0.2,0.45,5.65,3.554497553,11.03569485,-5.49,2913.5,5.856556819,49.75,119.4337,7.569,12641.5,0.899,1.543,1.8445,7.006,718.54,27.915,54.75,3.7975,5.1,1.29,1.4097,2932.25,12.34,236.365,
63,0.05,0.05,0.25,0.25,0.4,5.65,3.557371265,11.30069393,-5.44,2873.85,5.969944715,48.15,115.0382,7.4255,12190.5,0.898,1.541,1.852,6.902,714.285,27.565,54.8,3.7525,5.05,1.2895,1.4093,2892.6,11.55,233.875,
64,0.05,0.05,0.25,0.3,0.35,5.65,3.560603272,11.42989101,-5.39,2834.2,6.010129332,46.55,110.6427,7.282,11739.5,0.897,1.539,1.8595,6.798,710.03,27.215,54.85,3.7075,5,1.289,1.4089,2852.95,10.76,231.385,
65,0.05,0.05,0.25,0.35,0.3,5.65,3.564193366,11.42989101,-5.34,2794.55,5.981535941,44.95,106.2472,7.1385,11288.5,0.896,1.537,1.867,6.694,705.775,26.865,54.9,3.6625,4.95,1.2885,1.4085,2813.3,9.97,228.895,
66,0.05,0.05,0.25,0.4,0.25,5.65,3.568141237,11.30069393,-5.29,2754.9,5.885119415,43.35,101.8517,6.995,10837.5,0.895,1.535,1.8745,6.59,701.52,26.515,54.95,3.6175,4.9,1.288,1.4081,2773.65,9.18,226.405,
67,0.05,0.05,0.25,0.45,0.2,5.65,3.572446469,11.03569485,-5.24,2715.25,5.718448556,41.75,97.4562,6.8515,10386.5,0.894,1.533,1.882,6.486,697.265,26.165,55,3.5725,4.85,1.2875,1.4077,2734,8.39,223.915,
68,0.05,0.05,0.25,0.5,0.15,5.65,3.577108541,10.6193758,-5.19,2675.6,5.474605376,40.15,93.0607,6.708,9935.5,0.893,1.531,1.8895,6.382,693.01,25.815,55.05,3.5275,4.8,1.287,1.4073,2694.35,7.6,221.425,
69,0.05,0.05,0.25,0.55,0.1,5.65,3.582126834,10.02016314,-5.14,2635.95,5.138647672,38.55,88.6652,6.5645,9484.5,0.892,1.529,1.897,6.278,688.755,25.465,55.1,3.4825,4.75,1.2865,1.4069,2654.7,6.81,218.935,
70,0.05,0.05,0.25,0.6,0.05,5.65,3.587500623,9.16559309,-5.09,2596.3,4.675172758,36.95,84.2697,6.421,9033.5,0.891,1.527,1.9045,6.174,684.5,25.115,55.15,3.4375,4.7,1.286,1.4065,2615.05,6.02,216.445,
71,0.05,0.05,0.3,0.05,0.55,5.55,3.609371407,9.47265594,-6.39,2944.95,4.365649157,51.95,125.82105,7.748,13259.5,0.9015,1.5645,1.8255,7.1155,725.705,28.155,54.4,3.8725,5.15,1.2925,1.4136,2966.95,14.095,233.705,
72,0.05,0.05,0.3,0.1,0.5,5.55,3.611179481,10.28938286,-6.32,2905.3,4.730022787,50.35,121.42555,7.6045,12808.5,0.9005,1.5625,1.833,7.0115,721.45,27.805,54.45,3.8275,5.1,1.292,1.4132,2927.3,13.305,231.215,
73,0.05,0.05,0.3,0.15,0.45,5.55,3.613338775,10.84695596,-6.25,2865.65,4.973372694,48.75,117.03005,7.461,12357.5,0.8995,1.5605,1.8405,6.9075,717.195,27.455,54.5,3.7825,5.05,1.2915,1.4128,2887.65,12.515,228.725,
74,0.05,0.05,0.3,0.2,0.4,5.55,3.615849411,11.2169906,-6.18,2826,5.129322886,47.15,112.63455,7.3175,11906.5,0.8985,1.5585,1.848,6.8035,712.94,27.105,54.55,3.7375,5,1.291,1.4124,2848,11.725,226.235,
75,0.05,0.05,0.3,0.25,0.35,5.55,3.618711408,11.42989101,-6.11,2786.35,5.212385731,45.55,108.23905,7.174,11455.5,0.8975,1.5565,1.8555,6.6995,708.685,26.755,54.6,3.6925,4.95,1.2905,1.412,2808.35,10.935,223.745,
76,0.05,0.05,0.3,0.3,0.3,5.55,3.621924684,11.49949872,-6.04,2746.7,5.229416081,43.95,103.84355,7.0305,11004.5,0.8965,1.5545,1.863,6.5955,704.43,26.405,54.65,3.6475,4.9,1.29,1.4116,2768.7,10.145,221.255,
77,0.05,0.05,0.3,0.35,0.25,5.55,3.625489058,11.42989101,-5.97,2707.05,5.182795052,42.35,99.44805,6.887,10553.5,0.8955,1.5525,1.8705,6.4915,700.175,26.055,54.7,3.6025,4.85,1.2895,1.4112,2729.05,9.355,218.765,
78,0.05,0.05,0.3,0.4,0.2,5.55,3.629404249,11.2169906,-5.9,2667.4,5.071220462,40.75,95.05255,6.7435,10102.5,0.8945,1.5505,1.878,6.3875,695.92,25.705,54.75,3.5575,4.8,1.289,1.4108,2689.4,8.565,216.275,
79,0.05,0.05,0.3,0.45,0.15,5.55,3.633669878,10.84695596,-5.83,2627.75,4.889037482,39.15,90.65705,6.6,9651.5,0.8935,1.5485,1.8855,6.2835,691.665,25.355,54.8,3.5125,4.75,1.2885,1.4104,2649.75,7.775,213.785,
80,0.05,0.05,0.3,0.5,0.1,5.55,3.638285466,10.28938286,-5.76,2588.1,4.623255516,37.55,86.26155,6.4565,9200.5,0.8925,1.5465,1.893,6.1795,687.41,25.005,54.85,3.4675,4.7,1.288,1.41,2610.1,6.985,211.295,
81,0.05,0.05,0.3,0.55,0.05,5.55,3.643250439,9.47265594,-5.69,2548.45,4.242634452,35.95,81.86605,6.313,8749.5,0.8915,1.5445,1.9005,6.0755,683.155,24.655,54.9,3.4225,4.65,1.2875,1.4096,2570.45,6.195,208.805,
82,0.05,0.05,0.35,0.05,0.5,5.45,3.663849396,9.672267948,-7.02,2857.45,3.937040178,49.35,119.0219,7.4965,12524.5,0.901,1.58,1.829,6.913,720.105,27.345,54.2,3.8125,5.05,1.2935,1.4163,2882.7,13.48,223.575,
83,0.05,0.05,0.35,0.1,0.45,5.45,3.665665715,10.4473553,-6.93,2817.8,4.247988134,47.75,114.6264,7.353,12073.5,0.9,1.578,1.8365,6.809,715.85,26.995,54.25,3.7675,5,1.293,1.4159,2843.05,12.69,221.085,
84,0.05,0.05,0.35,0.15,0.4,5.45,3.667827083,10.958644,-6.84,2778.15,4.450987842,46.15,110.2309,7.2095,11622.5,0.899,1.576,1.844,6.705,711.595,26.645,54.3,3.7225,4.95,1.2925,1.4155,2803.4,11.9,218.595,
85,0.05,0.05,0.35,0.2,0.35,5.45,3.670333627,11.27657997,-6.75,2738.5,4.57495026,44.55,105.8354,7.066,11171.5,0.898,1.574,1.8515,6.601,707.34,26.295,54.35,3.6775,4.9,1.292,1.4151,2763.75,11.11,216.105,
86,0.05,0.05,0.35,0.25,0.3,5.45,3.673185376,11.42989101,-6.66,2698.85,4.631765969,42.95,101.4399,6.9225,10720.5,0.897,1.572,1.859,6.497,703.085,25.945,54.4,3.6325,4.85,1.2915,1.4147,2724.1,10.32,213.615,
87,0.05,0.05,0.35,0.3,0.25,5.45,3.676382264,11.42989101,-6.57,2659.2,4.626235339,41.35,97.0444,6.779,10269.5,0.896,1.57,1.8665,6.393,698.83,25.595,54.45,3.5875,4.8,1.291,1.4143,2684.45,9.53,211.125,
88,0.05,0.05,0.35,0.35,0.2,5.45,3.679924131,11.27657997,-6.48,2619.55,4.558574856,39.75,92.6489,6.6355,9818.5,0.895,1.568,1.874,6.289,694.575,25.245,54.5,3.5425,4.75,1.2905,1.4139,2644.8,8.74,208.635,
89,0.05,0.05,0.35,0.4,0.15,5.45,3.68381072,10.958644,-6.39,2579.9,4.424445331,38.15,88.2534,6.492,9367.5,0.894,1.566,1.8815,6.185,690.32,24.895,54.55,3.4975,4.7,1.29,1.4135,2605.15,7.95,206.145,
90,0.05,0.05,0.35,0.45,0.1,5.45,3.688041682,10.4473553,-6.3,2540.25,4.212522906,36.55,83.8579,6.3485,8916.5,0.893,1.564,1.889,6.081,686.065,24.545,54.6,3.4525,4.65,1.2895,1.4131,2565.5,7.16,203.655,
91,0.05,0.05,0.35,0.5,0.05,5.45,3.692616573,9.672267948,-6.21,2500.6,3.894762195,34.95,79.4624,6.205,8465.5,0.892,1.562,1.8965,5.977,681.81,24.195,54.65,3.4075,4.6,1.289,1.4127,2525.85,6.37,201.165,
92,0.05,0.05,0.4,0.05,0.45,5.35,3.711811304,9.77065102,-7.53,2769.95,3.594185232,46.75,112.22275,7.245,11789.5,0.9005,1.5955,1.8325,6.7105,714.505,26.535,54,3.7525,4.95,1.2945,1.419,2798.45,12.865,213.445,
93,0.05,0.05,0.4,0.1,0.4,5.35,3.713634676,10.49945397,-7.42,2730.3,3.863431157,45.15,107.82725,7.1015,11338.5,0.8995,1.5935,1.84,6.6065,710.25,26.185,54.05,3.7075,4.9,1.294,1.4186,2758.8,12.075,210.955,
94,0.05,0.05,0.4,0.15,0.35,5.35,3.715797701,10.958644,-7.31,2690.65,4.033635498,43.55,103.43175,6.958,10887.5,0.8985,1.5915,1.8475,6.5025,705.995,25.835,54.1,3.6625,4.85,1.2935,1.4182,2719.15,11.285,208.465,
95,0.05,0.05,0.4,0.2,0.3,5.35,3.718300512,11.2169906,-7.2,2651,4.130033622,41.95,99.03625,6.8145,10436.5,0.8975,1.5895,1.855,6.3985,701.74,25.485,54.15,3.6175,4.8,1.293,1.4178,2679.5,10.495,205.975,
96,0.05,0.05,0.4,0.25,0.25,5.35,3.721143145,11.30069393,-7.09,2611.35,4.162209745,40.35,94.64075,6.671,9985.5,0.8965,1.5875,1.8625,6.2945,697.485,25.135,54.2,3.5725,4.75,1.2925,1.4174,2639.85,9.705,203.485,
97,0.05,0.05,0.4,0.3,0.2,5.35,3.724325548,11.2169906,-6.98,2571.7,4.132770018,38.75,90.24525,6.5275,9534.5,0.8955,1.5855,1.87,6.1905,693.23,24.785,54.25,3.5275,4.7,1.292,1.417,2600.2,8.915,200.995,
98,0.05,0.05,0.4,0.35,0.15,5.35,3.727847577,10.958644,-6.87,2532.05,4.038986106,37.15,85.84975,6.384,9083.5,0.8945,1.5835,1.8775,6.0865,688.975,24.435,54.3,3.4825,4.65,1.2915,1.4166,2560.55,8.125,198.505,
99,0.05,0.05,0.4,0.4,0.1,5.35,3.731708997,10.49945397,-6.76,2492.4,3.871130042,35.55,81.45425,6.2405,8632.5,0.8935,1.5815,1.885,5.9825,684.72,24.085,54.35,3.4375,4.6,1.291,1.4162,2520.9,7.335,196.015,
100,0.05,0.05,0.4,0.45,0.05,5.35,3.735909481,9.77065102,-6.65,2452.75,3.603754029,33.95,77.05875,6.097,8181.5,0.8925,1.5795,1.8925,5.8785,680.465,23.735,54.4,3.3925,4.55,1.2905,1.4158,2481.25,6.545,193.525,
101,0.05,0.05,0.45,0.05,0.4,5.25,3.753554312,9.77065102,-7.92,2682.45,3.309252882,44.15,105.4236,6.9935,11054.5,0.9,1.611,1.836,6.508,708.905,25.725,53.8,3.6925,4.85,1.2955,1.4217,2714.2,12.25,203.315,
102,0.05,0.05,0.45,0.1,0.35,5.25,3.755383532,10.4473553,-7.79,2642.8,3.544322284,42.55,101.0281,6.85,10603.5,0.899,1.609,1.8435,6.404,704.65,25.375,53.85,3.6475,4.8,1.295,1.4213,2674.55,11.46,200.825,
